Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
650ML Container,Container Moudle 650ML,B,S,I,11591,41071,51081,,,,,NIL,,,,,,FRE,1,,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Pallet Wraps,Hand Pallet Wraps,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WCP684951,Purex toilet roll wht 9pk,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
MISC,MISC CHARGE / REFUND,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,,0,0,21,1,GST,,0,,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
WAWC80025,Ma,,,,,,,,,,,NIL,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,,,
Container Moudle 650ML,650ML Container,B,S,I,11591,41071,51081,,,,,NIL,,,,,,FRE,1,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Lid Moudle 650ML,650ML Lid,B,S,I,11600,41085,51095,,,,,NIL,,,,,,FRE,,1,0,0,97,1,GST,,0,1,0,0,0,0,0,97,97,97,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Hand Pallet Wraps,Pallet Wraps,B,S,I,11591,41071,51081,,,,,NIL,,,,,,FRE,1,1,0,0,0,,GST,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
Purex toilet roll wht 9pk,WCP684951,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
MISC CHARGE / REFUND,MISC,B,S,I,11591,41071,51081,,,,,NIL,,,,,,GST,,1,0,0,21,1,GST,,0,1,0,0,0,0,0,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
W700-O,Plastic Container W700,B,S,I,11410,41012,51012,"A13, A14",,,,NIL,,,,,,FRE,,1,0,150,46.14,,GST,,0,1,0,0,0,0,0,46.14,49,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,26.36,,
A500-O,Plastic Container A500,B,S,I,11415,41013,51013,C11,,,,NIL,,,,,,FRE,Box,1,0,50,29.49,Box,GST,,0,1,0,0,0,0,0,29.49,37,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,18.46,,
A650-O,Plastic Container A650,B,S,I,11415,41013,51013,C12,,,,NIL,,,,,A650,FRE,,1,100,50,35.02,,GST,,0,1,0,0,0,0,0,35.02,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,21.22,,
A750-O,Plastic Container A750,B,S,I,11415,41013,51013,C14,,,,NIL,,,,,,FRE,,1,0,50,38.44,,GST,,0,1,0,0,0,0,0,38.44,43,52,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,25.96,,
A1000-O,Plastic Container A1000,B,S,I,11415,41013,51013,C16,,,,NIL,,,,,,FRE,,1,0,50,42.32,,GST,,0,1,0,0,0,0,0,42.32,48,57,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,,
A Lid-O,Plastic A Lid,B,S,I,11415,41013,51013,B13,,,,NIL,,,,,,FRE,,1,0,150,20.6,,GST,,0,1,0,0,0,0,0,20.6,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,13.91,,
Round16-O,Plastic Round Container 16,B,S,I,11410,41012,51012,F3,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,25.05,,GST,,0,1,0,0,0,0,0,25.05,35,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,16.92,,
Round Lid-O,Plastic Round Lid,B,S,I,11410,41012,51012,G6,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,14.07,,GST,,0,1,0,0,0,0,0,14.07,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,10.43,,
W950-O,Plastic Container W950,B,S,I,11410,41012,51012,"A17, B17",,,,NIL,,,,,,FRE,,1,0,150,47.02,,GST,,0,1,0,0,0,0,0,47.02,52,61,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,31.75,,
W1000-O,Plastic Container W1000,B,S,I,11410,41012,51012,A19,,,,NIL,,,,,,FRE,,1,0,150,53.19,,GST,,0,1,0,0,0,0,0,53.19,56,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,36.62,,
W Lid-O,Plastic Lid W,B,S,I,11410,41012,51012,A5,,,,NIL,,,,,,FRE,,1,0,350,27.81,,GST,,0,1,0,0,0,0,0,27.81,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,18.77,,
Round10-O,Plastic Round Container 10,B,S,I,11410,41012,51012,"F1, F2",,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,25.32,,GST,,0,1,0,0,0,0,0,25.32,32,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,14.09,,
Round20-O,Plastic Round Container 20,B,S,I,11410,41012,51012,F5,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,30.9,,GST,,0,1,0,0,0,0,0,30.9,41,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,20.86,,
Round25-O,Plastic Round Container 25,B,S,I,11410,41012,51012,G5,,Plastic Containers,Microwavable Containers Clear,Containers,,,,,,FRE,,1,0,0,37.07,,GST,,0,1,0,0,0,0,0,37.07,46,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,25.03,,
W650-O,Plastic Container W650,B,S,I,11410,41012,51012,"A11, A12",,,,NIL,,,,,,FRE,,1,0,150,42.37,,GST,,0,1,0,0,0,0,0,42.37,43,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,23.72,,
WFPCPC0803,Plastic Spork 4 x 1000,B,S,I,11591,41071,51081,D5,,,,NIL,,,,FPA,CPC0803,GST,,1,2,1,89.74,,GST,,0,1,0,0,0,0,0,89.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,46.5,,
WFPCPC0800,White Plastic Knife,B,S,I,11591,41071,51081,D5,,,,NIL,,,,,CPC0800,GST,1,1,0,0,89.74,,GST,,0,1,0,0,0,0,0,89.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,46.5,,
WWL30500,Lunch 1ply 1/4 wht Npk 3000CTN,B,S,I,11505,41021,51021,PPS Lunch 1ply 30cm x 30cm White QTR fold Napkin,X,Napkin,Luncheon Napkin,NIL,CTN,500/SLV x 6,A10-1,Zhiyuan,WWL30500,FRE,CTN,1,0,0,35.5,CTN,GST,,0,1,0,0,0,0,0,35.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,27.31,,
LN0073,FP.C-NL0100..1ply 30x30 Wht1/4,B,S,I,11591,41071,51081,Lunch 1ply 30cm x 30cm White QTR fold Napkin,X,Napkin,Luncheon Napkin,NIL,CTN,500/SLV x 6,,,C-NL0100,GST,,1,0,0,27.05,,GST,,0,1,0,0,0,0,0,27.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,20.01,,
