Item Number,Supplier Item Number,No. Items/Buy Unit,Selling Price,Standard Cost
CUT0193,WCKNF,10.0,3.44,25.41
CUT0194,WCFRK,10.0,4.89,36.19
CUT0195,WCSPN,10.0,5.1,37.73
CUT0196,WCSPK,10.0,5.67,43.63
STR0073,PSRB,10.0,5.34,39.5
STR0074,PSRW,10.0,6.89,50.93
STR0081,PSJFFP,10.0,11.97,88.55
CH0071,WC221-5,1.0,15.49,11.46
EnFC0060,SCC4,4.0,12.42,38.23
BC0053,ABBBL,8.0,0.0,0.0
EnFC0067,ABSBL,4.0,12.37,38.07
EnFC0068,ABSBR,4.0,10.65,32.76
WQCoffeeSleeves,WQCoffeeSleeves,1.0,88.77,0.0
FFNAP002,N1LB,6.0,4.94,21.92
FFNAP008,NQDBRN-GT,10.0,3.08,22.79
BC0054,ABBB,10.0,4.28,32.91
EnFC0069,ABHD,4.0,11.42,35.13
CT0083,B-CC-802,10.0,6.54,50.27
CT0084,B-CC-832,4.0,15.23,46.86
PCC0099,R-250,40.0,4.88,150.26
PCC0108,R-500Y,20.0,9.39,144.49
EnFC0051,BB-SNACK BOX REGULAR,4.0,13.05,40.15
PCC0112,C-96D(X),10.0,7.9,60.78
PCC0097,R-150Y,20.0,7.25,111.6
